timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida3_price_eur_mwh,da_price_eur_mwh,load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,wind_onshore_forecast_da_mw,ida3_price_eur_mwh_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,ida3_price_eur_mwh_regime_vol_7d_over_28d,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,ida3_price_eur_mwh_regime_abs_median_28d_over_vol,load_forecast_da_mw_lag_1d_same_local_qh,wind_offshore_forecast_id_mw_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh
2026-06-04 17:30:00+00:00,2026-06-04 19:30:00+02:00,2026-06-04,19,30,2,3,6,106.0,113.1,,22303.52376,161.27,1.419412148329182,,22.644978104059472,1.4080363719861189,-15.460000000000008,7.7364789214129335,58781.746566,1854.47,-7.099999999999994
2026-06-04 17:45:00+00:00,2026-06-04 19:45:00+02:00,2026-06-04,19,45,3,3,6,109.1,117.72,,22180.08542,184.33,1.1826652050871134,,13.732277062939472,1.5746980821839398,-44.00999999999999,4.878909708122018,58903.486547,1869.4,-8.620000000000005
2026-06-04 18:00:00+00:00,2026-06-04 20:00:00+02:00,2026-06-04,20,0,0,3,6,105.95,114.27,,22073.02748,174.81,1.518029974144778,,42.538111147534515,1.5413920251169373,-9.870000000000005,5.30507174786779,58562.219534,1872.0,-8.319999999999993
2026-06-04 18:15:00+00:00,2026-06-04 20:15:00+02:00,2026-06-04,20,15,1,3,6,109.0,112.21,,21978.81923,191.79,1.6279344551354404,,42.11906258849232,1.6933931702444973,-25.669999999999987,3.8629524242331432,57876.931057,1860.7,-3.2099999999999937
2026-06-04 18:30:00+00:00,2026-06-04 20:30:00+02:00,2026-06-04,20,30,2,3,6,110.94,117.0,,21892.72041,209.79,1.6140419308985774,,44.428101842565056,1.7446351391596266,-10.5,3.0800081083295625,57719.36801,1845.16,-6.060000000000002
2026-06-04 18:45:00+00:00,2026-06-04 20:45:00+02:00,2026-06-04,20,45,3,3,6,110.95,121.3,,21828.41504,222.41,1.5933946490699722,,46.3923086297718,1.7466122207460224,-44.72999999999999,2.5227212202671225,57023.835648,1828.52,-10.349999999999994
2026-06-04 19:00:00+00:00,2026-06-04 21:00:00+02:00,2026-06-04,21,0,0,3,6,109.34,115.92,,21855.29056,215.49,1.7179407926516628,,37.6062827197797,1.7830225375809408,-23.99000000000001,2.6344993272808996,56292.005778,1808.86,-6.579999999999998
2026-06-04 19:15:00+00:00,2026-06-04 21:15:00+02:00,2026-06-04,21,15,1,3,6,108.83,114.35,,21981.65123,194.15,1.8795924256435939,,42.36039777905773,1.8061277726691918,-22.5,2.825635884591244,55732.222235,1762.92,-5.519999999999996
2026-06-04 19:30:00+00:00,2026-06-04 21:30:00+02:00,2026-06-04,21,30,2,3,6,107.22,111.23,,22101.171,178.17,1.198244522982101,,15.785933611921719,1.7971805359534025,-25.390000000000015,3.926573637451909,54836.565177,1716.64,-4.010000000000005
2026-06-04 19:45:00+00:00,2026-06-04 21:45:00+02:00,2026-06-04,21,45,3,3,6,102.89,101.88,,22210.16609,161.23,1.8041323453793952,,109.05366981445421,1.6615255865665433,-20.47,6.487121645486021,54149.415125,1672.73,1.0100000000000051
